date,AVG.INTWO,CORRA_TOTAL_VOLUME,CORRA_TRIMMED_VOLUME,CORRA_NUMBER_OF_SUBMITTERS,CORRA_RATE_AT_TRIM,CORRA_RATE_AT_PERCENTILE_5,CORRA_RATE_AT_PERCENTILE_25,CORRA_RATE_AT_PERCENTILE_75,CORRA_RATE_AT_PERCENTILE_95,CORRA_PUBLICATION_STATUS,CORRA_CALCULATION_METHODOLOGY
24/02/1998,4.7286,,,,,,,,,,
25/02/1998,4.7476,,,,,,,,,,
26/02/1998,4.8,,,,,,,,,,
27/02/1998,5.1114,,,,,,,,,,
2/03/1998,4.9353,,,,,,,,,,
3/03/1998,4.8067,,,,,,,,,,
4/03/1998,4.6911,,,,,,,,,,
5/03/1998,4.76,,,,,,,,,,
6/03/1998,4.6395,,,,,,,,,,
9/03/1998,4.7776,,,,,,,,,,
10/03/1998,4.73,,,,,,,,,,
11/03/1998,4.7,,,,,,,,,,
12/03/1998,4.7284,,,,,,,,,,
13/03/1998,4.8284,,,,,,,,,,
16/03/1998,4.9058,,,,,,,,,,
17/03/1998,4.6671,,,,,,,,,,
18/03/1998,4.6842,,,,,,,,,,
19/03/1998,4.7756,,,,,,,,,,
20/03/1998,4.6894,,,,,,,,,,
23/03/1998,4.6873,,,,,,,,,,
24/03/1998,4.6061,,,,,,,,,,
25/03/1998,4.69,,,,,,,,,,
26/03/1998,4.7389,,,,,,,,,,
27/03/1998,4.8197,,,,,,,,,,
30/03/1998,4.8412,,,,,,,,,,
31/03/1998,4.9435,,,,,,,,,,
1/04/1998,4.69,,,,,,,,,,
2/04/1998,4.8,,,,,,,,,,
3/04/1998,4.76,,,,,,,,,,
6/04/1998,4.77,,,,,,,,,,
7/04/1998,4.77,,,,,,,,,,
8/04/1998,4.77,,,,,,,,,,
13/04/1998,4.75,,,,,,,,,,
14/04/1998,4.79,,,,,,,,,,
15/04/1998,4.9,,,,,,,,,,
16/04/1998,4.84,,,,,,,,,,
17/04/1998,4.77,,,,,,,,,,
20/04/1998,4.77,,,,,,,,,,
21/04/1998,4.75,,,,,,,,,,
22/04/1998,4.75,,,,,,,,,,
23/04/1998,4.76,,,,,,,,,,
24/04/1998,4.79,,,,,,,,,,
27/04/1998,4.78,,,,,,,,,,
28/04/1998,4.8,,,,,,,,,,
30/04/1998,4.9,,,,,,,,,,
1/05/1998,4.7823,,,,,,,,,,
4/05/1998,4.5237,,,,,,,,,,
5/05/1998,4.7715,,,,,,,,,,
6/05/1998,4.7746,,,,,,,,,,
7/05/1998,4.7735,,,,,,,,,,
